Year,Location,Location Description,Site Number,Colony Size Class,Colony Location Class,Count,Type of Info,Lat,Long,Notes,Collector,Source
1959,Imrie Island,,,3,,200,Nests. 168 nests actually counted but due to long grass estimate was made at 200.,48.6944,-123.3332,,"R., J.J., & J. Drent",Drent and Guiguet 1961
1960,Imrie Island,,,3,,295,Pair. 270 Nests actually counted but due to long grass estimate was made of 290-300 pairs.,48.6944,-123.3332,Orig est 290-300,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1968,Imrie Island,,,3,,250,Nests,48.6944,-123.3332,Orig est 200-300,R and N Drent,B.C. Nest Record Scheme
1974,Imrie Island,,,3,,298,Pair,48.6944,-123.3332,,,Campbell 1976
1977,Imrie Island,,,3,,315,Nests. (299 +16 flooded),48.6944,-123.3332,,R Hunter,B.C. Nest Record Scheme
1978,Imrie Island,,,3,,355,Nests,48.6944,-123.3332,,,Campbell et al 1990
1985,Imrie Island,,,3,,120,Nests,48.6944,-123.3332,,,Vermeer and Devito 1989
1986,Imrie Island,,,3,,216,Nests,48.6944,-123.3332,,,Vermeer and Devito 1989
1997,Imrie Island,,,3,,33,Nests,48.6944,-123.3332,,,Sullivan et al 2002
1999,Imrie Island,,,3,,41,Nests,48.6944,-123.3332,,,"Moira Lemon BLOY egg collection 1999, Sullivan et al. 2002"
2005,Imrie Island,,,3,,1,Nests,48.6944,-123.3332,,,"Unpubl. Data - ""Haro Gulls"" file in GWGU_laura"
2007,Imrie Island,,,3,,0,Nests,48.6944,-123.3332,,,"Unpubl. Data - ""Haro Gulls"" file in GWGU_laura"
1999,Inskip Rock,,,1,,0,Nests,49.2085,-123.9538,,,Moira Lemon BLOY egg collection 1999
1900,Java Islets,,,5,,35,Pair,48.7603,-123.1138,,H. Spalding,Drent and Guiguet 1961
1959,Java Islets,,,5,,372,Nests,48.7603,-123.1138,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1968,Java Islets,,,5,,464,Nests,48.7603,-123.1138,,R and J Drent,B.C. Nest Record Scheme
1969,Java Islets,,,5,,531,Nests,48.7603,-123.1138,,"R Drent, J Anvik, J&J Ward",B.C. Nest Record Scheme
1974,Java Islets,,,5,,372,Nests,48.7603,-123.1138,,,Campbell 1976
1977,Java Islets,,,5,,374,Nests,48.7603,-123.1138,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1980,Java Islets,,,5,,181,Nests,48.7603,-123.1138,,,Campbell et al 1990
1981,Java Islets,,,5,,384,Nests,48.7603,-123.1138,,"R Gibb, C Gibb, M Hodgson",B.C. Nest Record Scheme
1986,Java Islets,,,5,,298,Nests,48.7603,-123.1138,,,Vermeer and Devito 1989
2005,Java Islets,,,5,,52,Nests,48.7603,-123.1138,,Todd Golumbia,Todd Golumbia pers. comm. 2009
2007,Java Islets,,,5,,20,Nests,48.7603,-123.1138,,Todd Golumbia,Todd Golumbia pers. comm. 2009
2008,Java Islets,,,5,,17,Nests,48.7603,-123.1138,,Todd Golumbia,Todd Golumbia pers. comm. 2009
2009,Java Islets,,,5,,25,Nests,48.7603,-123.1138,,Todd Golumbia,Todd Golumbia pers. comm. 2009
1970,Keefer Rock,,,2,,7,Nests,49.9684,-124.8775,,"R Foottit, R Butler, W Merilee",B.C. Nest Record Scheme
1973,Keefer Rock,,,2,,7,Pair,49.9684,-124.8775,,Rob and Sharon Butler,B.C Nest Record Scheme
1974,Keefer Rock,,,2,,7,Pair,49.9684,-124.8775,,,Campbell 1976
1977,Keefer Rock,,,2,,20,Pair,49.9684,-124.8775,,,B.C Nest Record Scheme
1986,Keefer Rock,,,2,,28,Nests,49.9684,-124.8775,,,Vermeer and Devito 1989
2006,Keefer Rock,,,2,,0,GWGU,49.9684,-124.8775,,Rob Butler,Rob Butler pers. comm. 2009
1972,Kuper Island,,,2,,4,Nests,48.9359,-123.6317,,J Cooper,B.C Nest Record Scheme
1974,Kuper Island,,,2,,10,Nests,48.9359,-123.6317,,"MS Rodway, RW Campbell",B.C Nest Record Scheme
1976,Kuper Island,,,2,,11,Nests,48.9359,-123.6317,,"MS Rodway, RW Campbell",B.C Nest Record Scheme
1977,Kuper Island,,,2,,6,Nests,48.9359,-123.6317,,"MS Rodway, RW Campbell",B.C Nest Record Scheme
1986,Kuper Island,Cliffs and cliff cavities,,2,,8,Nests,48.9359,-123.6317,,,Vermeer and Devito 1989
1977,Lion Islets,,,1,,2,Nests,48.9009,-123.3372,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1986,Lion Islets,,,1,,1,Nest,48.9009,-123.3372,,,Vermeer and Devito 1989
1986,Little Group Islets,,,1,,6,Nests,48.6708,-123.3578,,,Vermeer and Devito 1989
1997,Little Group Islets,,,1,,3,Nests,48.6708,-123.3578,,,Sullivan et al 2002
1999,Little Group Islets,,,1,,1,Nests,48.6708,-123.3578,,,Moira Lemon BLOY egg collection 1999
2010,Little Group Islets,,,1,,0,Nests,48.6708,-123.3578,,,
1974,Little Rock,Caution - see notes,,1,,1,Pair,50.0526,-124.9136,,,Campbell 1976
1986,Little Rock,Caution - see notes,,1,,1,Nest,50.1581,-125.0945,,,Vermeer and Devito 1989
2006,Little Rock,Caution - see notes,,1,,0,"Nests (Orig notes read ""GWGU 2' where notes for other colonies mention pairs or nests)",50.0526,-124.9136,,Rob Butler,Rob Butler pers. comm. 2009
1970,Major Islet,,,1,,1,Nests,49.989,-124.8165,,"R Foottit, R Butler, W Merilee",B.C. Nest Record Scheme
1974,Major Islet,,,1,,3,Pair,49.989,-124.8165,,,Campbell 1976
1978,Major Islet,,,1,,1,Pair,49.989,-124.8165,,MGS TES,B.C. Nest Record Scheme
2006,Major Islet,,,1,,0,Pair,49.989,-124.8165,,Rob Butler,Rob Butler pers. comm. 2009
1915,Mandarte Island,,,5,,450,Pair.,48.6339,-123.29,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1921,Mandarte Island,,,5,,350,Pair,48.6339,-123.29,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1923,Mandarte Island,,,5,,600,Pair,48.6339,-123.29,,JA Munro,B.C. Nest Record Scheme
1927,Mandarte Island,,,5,,1000,Pair,48.6339,-123.29,,Munro 1929,B.C. Nest Record Scheme
1936,Mandarte Island,,,5,,534,Nests,48.6339,-123.29,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1955,Mandarte Island,,,5,,1500,Pair,48.6339,-123.29,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1957,Mandarte Island,,,5,,1900,Pair,48.6339,-123.29,Orig est 1800-2000,G.F. van Tets and other UBCers,Drent and Guiguet 1961
1958,Mandarte Island,,,5,,1900,Pair,48.6339,-123.29,Orig est 1800-2000,G.F. van Tets and other UBCers,Drent and Guiguet 1961
1959,Mandarte Island,,,5,,1900,Pair,48.6339,-123.29,Orig est 1800-2000,G.F. van Tets and other UBCers,Drent and Guiguet 1961
1960,Mandarte Island,,,5,,1900,Pair,48.6339,-123.29,Orig est 1800-2000,G.F. van Tets and other UBCers,Drent and Guiguet 1961
